,Sun 15,Mon 16,Tue 17,Wed 18,Thu 19,Fri 20,Sat 21,|,Sun 22,Mon 23,Tue 24,Wed 25,Thu 26,Fri 27,Sat 28
Yoda,OFF,,IN PREF,OFF,OFF,OFF,OFF,|,OFF,,IN PREF,IN PREF,OFF,OFF,OFF
Xavier,OFF,,,IN PREF,,,OFF,|,OFF,,OFF,ON PREF,OFF,ON PREF,
Zeus,IN PREF,,,,,,ON PREF,|,IN PREF,,,,,IN PREF,ON PREF
------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Sun 29,Mon 30,Tue 31,Wed 1,Thu 2,Fri 3,Sat 4,|,Sun 5,Mon 6,Tue 7,Wed 8,Thu 9,Fri 10,
Ash,IN PREF,,,,,,,|,OFF,,IN PREF,OFF,ON PREF,OFF,
Bruce,OFF,IN PREF,OFF,IN PREF,ON PREF,OFF,OFF,|,OFF,OFF,OFF,OFF,OFF,OFF,
Clark,,,ON PREF,,OFF,,IN PREF,|,ON PREF,OFF,,OFF,OFF,,
Daenerys,OFF,ON PREF,IN PREF,OFF,OFF,ON PREF,,|,ON PREF,,OFF,OFF,OFF,OFF,
Elsa,OFF,OFF,,,ON PREF,IN PREF,,|,IN PREF,,,OFF,,OFF,
Frodo,OFF,OFF,OFF,,,OFF,ON PREF,|,,IN PREF,,,,OFF,
Grinch,OFF,OFF,IN PREF,ON PREF,OFF,OFF,OFF,|,,IN PREF,,,ON PREF,,
Hermione,ON PREF,,IN PREF,,OFF,OFF,OFF,|,,,ON PREF,,,IN PREF,
Indiana,,IN PREF,ON PREF,OFF,,,ON PREF,|,OFF,OFF,,ON PREF,,IN PREF,
Jerry,,,OFF,OFF,,IN PREF,,|,,ON PREF,,,,OFF,
Kenobi,OFF,OFF,IN PREF,OFF,IN PREF,ON PREF,,|,OFF,,OFF,IN PREF,,ON PREF,
Lumiere,OFF,OFF,IN PREF,,OFF,,IN PREF,|,IN PREF,OFF,,OFF,ON PREF,OFF,
Mickey,,,IN PREF,IN PREF,,,,|,,ON PREF,OFF,OFF,,,
Napoleon,OFF,OFF,ON PREF,IN PREF,,ON PREF,OFF,|,OFF,OFF,OFF,ON PREF,,IN PREF,
Othello,ON PREF,,,ON PREF,,,OFF,|,OFF,OFF,OFF,OFF,IN PREF,OFF,
Patrick,,,OFF,,,IN PREF,,|,,,OFF,OFF,OFF,ON PREF,
Ross,ON PREF,,OFF,IN PREF,OFF,,ON PREF,|,OFF,ON PREF,OFF,OFF,IN PREF,,
Sulu,OFF,IN PREF,OFF,OFF,IN PREF,,,|,IN PREF,OFF,OFF,OFF,OFF,OFF,
Tom,,,,IN PREF,OFF,OFF,,|,OFF,,,IN PREF,,ON PREF,
Vader,,OFF,OFF,ON PREF,IN PREF,IN PREF,OFF,|,,IN PREF,,OFF,OFF,OFF,
Wilt,IN PREF,ON PREF,,,,OFF,OFF,|,OFF,OFF,ON PREF,IN PREF,,,
Yoda,OFF,OFF,IN PREF,,ON PREF,,,|,ON PREF,,IN PREF,OFF,,,
Xavier,IN PREF,ON PREF,OFF,,OFF,,,|,OFF,OFF,IN PREF,ON PREF,OFF,OFF,
Zeus,,,,,,,,|,OFF,OFF,ON PREF,,IN PREF,OFF,
------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------

